,model,all_ones,acc,mcc,f1,lr
0,0 epoch: 1,0.7759,0.2931,-0.03,0.0889,0.0005
1,0 epoch: 2,0.7759,0.2759,0.0,0.0,0.0005
2,0 epoch: 3,0.7759,0.2759,0.0,0.0,0.0005
3,0 epoch: 4,0.7759,0.2759,0.0,0.0,0.0005
4,0 epoch: 5,0.7759,0.2759,-0.154,0.1064,0.0005
5,0 epoch: 6,0.7759,0.2759,0.0,0.0,0.0005
6,0 epoch: 7,0.7759,0.2759,0.0,0.0,0.0005
7,0 epoch: 8,0.7759,0.2759,0.0,0.0,0.0005
8,0 epoch: 9,0.7759,0.2759,0.0,0.0,0.0005
9,0 epoch: 10,0.7759,0.2672,-0.1511,0.0,0.0005
10,0 epoch: 11,0.7759,0.2759,0.0,0.0,0.0005
11,0 epoch: 12,0.7759,0.2672,-0.1815,0.086,0.0005
12,0 epoch: 13,0.7759,0.319,-0.0253,0.1856,0.0005
13,0 epoch: 14,0.7759,0.2759,0.0,0.0,0.0005
14,0 epoch: 15,0.7759,0.2759,0.0,0.0,0.0005
15,0 epoch: 1,0.7759,0.4741,0.0027,0.5481,0.0005
16,0 epoch: 2,0.7759,0.7241,0.1703,0.8298,0.0005
17,0 epoch: 3,0.7759,0.7155,0.021,0.8325,0.0005
18,0 epoch: 4,0.7759,0.6897,-0.1166,0.8163,0.0005
19,0 epoch: 5,0.7759,0.6552,-0.083,0.7872,0.0005
20,0 epoch: 6,0.7759,0.4052,0.0445,0.3894,0.0005
21,0 epoch: 7,0.7759,0.6809999999999999,-0.0348,0.8063,0.0005
22,0 epoch: 8,0.7759,0.6552,0.0018,0.7802,0.0005
23,0 epoch: 9,0.7759,0.7155,0.021,0.8325,0.0005
24,0 epoch: 10,0.7759,0.7241,0.0,0.84,0.0005
25,0 epoch: 1,0.7759,0.5862,0.10800000000000001,0.6842,0.0005
26,0 epoch: 2,0.7759,0.6983,0.107,0.8108,0.0005
27,0 epoch: 3,0.7759,0.7328,0.1511,0.8442,0.0005
28,0 epoch: 4,0.7759,0.7155,-0.0576,0.8342,0.0005
29,0 epoch: 5,0.7759,0.6207,0.0506,0.7381,0.0005
30,0 epoch: 1,0.7759,0.75,-0.0277,0.0645,0.0005
31,0 epoch: 2,0.7759,0.7241,-0.0265,0.1111,0.0005
32,0 epoch: 3,0.7759,0.7241,-0.0265,0.1111,0.0005
33,0 epoch: 4,0.7759,0.7759,0.1313,0.1875,0.0005
34,0 epoch: 5,0.7759,0.6983,-0.1092,0.0541,0.0005
35,0 epoch: 1,0.7759,0.2414,-0.0433,0.3433,0.0005
36,0 epoch: 2,0.7759,0.2241,0.0489,0.3571,0.0005
37,0 epoch: 3,0.7759,0.2241,0.0489,0.3571,0.0005
38,0 epoch: 4,0.7759,0.6379,0.2309,0.4324,0.0005
39,0 epoch: 5,0.7759,0.25,-0.0228,0.3459,0.0005
40,0 epoch: 1,0.7759,0.7155,-0.0404,0.1081,0.0005
41,0 epoch: 2,0.7759,0.7069,-0.0533,0.1053,0.0005
42,0 epoch: 3,0.7759,0.75,-0.0991,0.0,0.0005
43,0 epoch: 4,0.7759,0.6466,0.1016,0.3279,0.0005
44,0 epoch: 5,0.7759,0.181,-0.3983,0.24,0.0005
